N,Threads,Tempo(s),Primo(s) Encontrado(s)
1000,1,0.00014350000000000002,168
1000,2,0.00018879999999999998,168
1000,4,0.0002663,168
1000,8,0.0003666,168
10000,1,0.0005277,1229
10000,2,0.000971,1229
10000,4,0.0009641000000000001,1229
10000,8,0.0014702,1229
100000,1,0.0082478,9592
100000,2,0.0079516,9592
100000,4,0.0102876,9592
100000,8,0.014837,9592
1000000,1,0.1855249,78498
1000000,2,0.1079723,78498
1000000,4,0.1049069,78498
1000000,8,0.14254260000000002,78498
